category,product_name,mrp_inr,discount_pct,available_qty,selling_price_inr,weight_gms,out_of_stock,unit_qty,discount_amount,price_per_100g,stock_status,discount_tier
Cooking Essentials,Amul Ghee (Tin),520.0,2,6,509.0,1000,False,1,11.0,52.0,In Stock,Low (1-10%)
Cooking Essentials,Amul Fresh Cream,197.0,3,3,191.0,1000,False,1,6.0,19.7,In Stock,Low (1-10%)
Cooking Essentials,Popular Essentials Pure Jaggery,50.0,2,6,49.0,450,False,450,1.0,11.11111111111111,In Stock,Low (1-10%)
Cooking Essentials,Aashirvaad Multigrain Atta,64.0,3,2,62.0,1000,False,1,2.0,6.4,Low Stock,Low (1-10%)
Cooking Essentials,Fortune Soyabean Oil,1005.0,0,6,999.0,5000,False,5,6.0,20.1,In Stock,No Discount
Cooking Essentials,Popular Essentials Sunflower Seeds,25.0,0,6,25.0,50,False,50,0.0,50.0,In Stock,No Discount
Cooking Essentials,Tata Sampann kabuli chana,185.0,1,4,183.0,1000,False,500,2.0,18.5,In Stock,Low (1-10%)
Cooking Essentials,Dhara Groundnut Oil (Pouch),230.0,11,6,203.0,1000,False,1,27.0,23.0,In Stock,Mid (11-20%)
Cooking Essentials,Dhara Health Refined Sun Flower Oil Jar,1200.0,18,6,984.0,5000,False,5,216.0,24.0,In Stock,Mid (11-20%)
Cooking Essentials,24 Mantra Organic Jaggery Powder,80.0,15,6,68.0,500,False,500,12.0,16.0,In Stock,Mid (11-20%)
Cooking Essentials,Tata Sampann High Protien Kabuli Chana,94.0,0,1,94.0,500,False,500,0.0,18.8,Low Stock,No Discount
Cooking Essentials,Dhara Kachi Ghani Mustard Oil Jar,1250.0,8,6,1143.0,5000,False,5,107.0,25.0,In Stock,Low (1-10%)
Cooking Essentials,D'lecta Dairy Cream,54.0,5,6,51.0,200,False,200,3.0,27.0,In Stock,Low (1-10%)
Cooking Essentials,Ching's Secret Instant Hot Garlic Noodles,15.0,0,3,15.0,60,False,60,0.0,25.0,In Stock,No Discount
Cooking Essentials,Dabur Ginger Garlic Paste,25.0,8,3,23.0,100,False,100,2.0,25.0,In Stock,Low (1-10%)
Cooking Essentials,Ching's Secret Instant Schezwan Noodles,15.0,0,6,15.0,60,False,60,0.0,25.0,In Stock,No Discount
Cooking Essentials,Gowardhan Ghee/Tuppa Jar,315.0,1,6,309.0,500,False,500,6.0,63.0,In Stock,Low (1-10%)
Cooking Essentials,Tata Sampann Unpolished Moong Dal,92.0,4,4,88.0,500,False,500,4.0,18.4,In Stock,Low (1-10%)
Cooking Essentials,Aashirvaad Select Atta,64.0,0,6,64.0,1000,False,1,0.0,6.4,In Stock,No Discount
Cooking Essentials,Popular Essentials Misri Dana (Diamond Sugar),15.0,0,4,15.0,100,False,100,0.0,15.0,In Stock,No Discount
Cooking Essentials,Gowardhan Ghee Jar,598.0,3,6,579.0,1000,False,1,19.0,59.8,In Stock,Low (1-10%)
Cooking Essentials,Top Ramen  Noodles Curry Veg Pouch,20.0,0,1,20.0,70,False,70,0.0,28.57142857142857,Low Stock,No Discount
Cooking Essentials,Popular Essentials Refined Sugar,60.0,0,6,60.0,1000,False,1,0.0,6.0,In Stock,No Discount
Cooking Essentials,Fortune Kachi Ghani Mustard Oil Bottle,216.0,7,6,199.0,1000,False,1,17.0,21.6,In Stock,Low (1-10%)
Cooking Essentials,Saffola Veggie Twist Masala Oats,15.0,0,6,15.0,38,False,38,0.0,39.473684210526315,In Stock,No Discount
Cooking Essentials,Satyam Puffed Rice Kurmura (R),23.0,0,6,23.0,200,False,200,0.0,11.5,In Stock,No Discount
Cooking Essentials,Quaker Oats,79.0,0,2,79.0,400,False,400,0.0,19.75,Low Stock,No Discount
Cooking Essentials,Aashirvaad Select Sharbati Atta,315.0,10,6,283.0,5000,False,5,32.0,6.3,In Stock,Low (1-10%)
Cooking Essentials,Popular Essentials Refined Sugar,295.0,10,6,265.0,5000,False,5,30.0,5.8999999999999995,In Stock,Low (1-10%)
Cooking Essentials,Gowardhan Cow Ghee Pouch,579.0,10,6,521.0,1000,False,1,58.0,57.9,In Stock,Low (1-10%)
Cooking Essentials,Dhara Nourish Refined Sunflower Oil Pouch,210.0,5,6,199.0,1000,False,1,11.0,21.0,In Stock,Low (1-10%)
Cooking Essentials,Parachute Oil,40.0,7,3,37.0,100,False,100,3.0,40.0,In Stock,Low (1-10%)
Cooking Essentials,Popular Essentials Plain Puffed Rice (Murmura/Muri),18.0,0,6,18.0,100,False,100,0.0,18.0,In Stock,No Discount
Cooking Essentials,Amul Mithai Mate Condensed Sweetened Milk,56.0,3,4,54.0,200,False,200,2.0,28.000000000000004,In Stock,Low (1-10%)
Cooking Essentials,Saffola Gold (Jar),1240.0,0,6,1240.0,5000,False,5,0.0,24.8,In Stock,No Discount
Cooking Essentials,McCain New Mini Samosa with Cheese Pizza Style Filling,120.0,1,3,118.0,240,False,240,2.0,50.0,In Stock,Low (1-10%)
Cooking Essentials,Fortune Rice Bran Health Oil (Jar),1050.0,1,6,1039.0,5000,False,5,11.0,21.0,In Stock,Low (1-10%)
Cooking Essentials,Arden Desi Eggs,110.0,13,4,95.0,348,False,6,15.0,31.60919540229885,In Stock,Mid (11-20%)
Cooking Essentials,Fortune Rozana Basmati Rice,585.0,21,6,462.0,5000,False,5,123.0,11.700000000000001,In Stock,High (21%+)
Cooking Essentials,Fortune Biriyani Special Basmati Rice,175.0,0,5,175.0,1000,False,1,0.0,17.5,In Stock,No Discount
Cooking Essentials,Everest Garam Masala,78.0,7,5,72.0,100,False,100,6.0,78.0,In Stock,Low (1-10%)
Cooking Essentials,Popular Essentials Pumpkin Seeds,90.0,16,6,75.0,100,False,100,15.0,90.0,In Stock,Mid (11-20%)
Cooking Essentials,Fortune Soya Health Refined Soybean Oil,210.0,1,2,206.0,1000,False,1,4.0,21.0,Low Stock,Low (1-10%)
Cooking Essentials,Gowardhan Pure Ghee Pouch,295.0,4,6,281.0,500,False,500,14.0,59.0,In Stock,Low (1-10%)
Cooking Essentials,Popular Essentials Jeera/Cumin Seeds,40.0,5,3,38.0,100,False,100,2.0,40.0,In Stock,Low (1-10%)
Cooking Essentials,Weikfield Baking Soda,30.0,3,6,29.0,100,False,100,1.0,30.0,In Stock,Low (1-10%)
Cooking Essentials,Everest Pav Bhaji Masala,37.0,10,4,33.0,50,False,50,4.0,74.0,In Stock,Low (1-10%)
Cooking Essentials,Tata Sampann Unpolished Chana Dal,95.0,6,2,89.0,1000,False,500,6.0,9.5,Low Stock,Low (1-10%)
Cooking Essentials,Amul Mithai Mate EOE Tin,112.0,2,6,109.0,400,False,400,3.0,28.000000000000004,In Stock,Low (1-10%)
Cooking Essentials,Pillsbury Chakki Fresh Atta,450.0,16,6,375.0,10000,False,10,75.0,4.5,In Stock,Mid (11-20%)
Cooking Essentials,Everest Chicken Masala,39.0,2,1,38.0,50,False,50,1.0,78.0,Low Stock,Low (1-10%)
Cooking Essentials,Dhara Life Refined Ricebran Oil (Pouch),205.0,7,6,190.0,1000,False,1,15.0,20.5,In Stock,Low (1-10%)
Cooking Essentials,Borges Extra Virgin Olive Oil,400.0,25,1,299.0,250,False,250,101.0,160.0,Low Stock,High (21%+)
Cooking Essentials,Everest Shahi Biryani Masala,70.0,14,6,60.0,50,False,50,10.0,140.0,In Stock,Mid (11-20%)
Cooking Essentials,Popular Essentials Californian Almond,350.0,28,6,251.0,250,False,250,99.0,140.0,In Stock,High (21%+)
Cooking Essentials,Popular Essentials Ajwain Whole,25.0,0,4,25.0,50,False,50,0.0,50.0,In Stock,No Discount
Cooking Essentials,Everest Tikhalal Chilli Powder,235.0,9,6,212.0,500,False,500,23.0,47.0,In Stock,Low (1-10%)
Cooking Essentials,Popular Essentials Kabuli Chana Regular,85.0,9,6,77.0,500,False,500,8.0,17.0,In Stock,Low (1-10%)
Cooking Essentials,Pillsbury Chakki Fresh Atta,52.0,0,4,52.0,1000,False,1,0.0,5.2,In Stock,No Discount
Cooking Essentials,Popular Essentials Saunf/Fennel Seeds,45.0,2,6,44.0,100,False,100,1.0,45.0,In Stock,Low (1-10%)
Cooking Essentials,Popular Essentials Bansi Sooji,35.0,2,3,34.0,500,False,500,1.0,7.000000000000001,In Stock,Low (1-10%)
Cooking Essentials,Happilo Premium International Queen Kalmi Dates,245.0,29,6,172.0,200,False,200,73.0,122.50000000000001,In Stock,High (21%+)
Cooking Essentials,Tata Sampann Unpolished Urad Whole,101.0,6,4,94.0,500,False,500,7.0,20.200000000000003,In Stock,Low (1-10%)
Cooking Essentials,Popular Essentials Cashew Split,325.0,12,6,283.0,250,False,250,42.0,130.0,In Stock,Mid (11-20%)
Cooking Essentials,Popular Essentials Chana Dal (Un-Polished),60.0,10,6,54.0,500,False,500,6.0,12.0,In Stock,Low (1-10%)
Cooking Essentials,Tata Sampann Unpolished Rajma (Chitra),134.0,6,6,125.0,500,False,500,9.0,26.8,In Stock,Low (1-10%)
Cooking Essentials,Everest Garam Masala,42.0,2,2,41.0,50,False,50,1.0,84.0,Low Stock,Low (1-10%)
Cooking Essentials,Everest Kitchen King Masala,70.0,14,2,60.0,100,False,100,10.0,70.0,Low Stock,Mid (11-20%)
Cooking Essentials,24 Mantra Organic Cumin,70.0,7,2,65.0,100,False,100,5.0,70.0,Low Stock,Low (1-10%)
Cooking Essentials,Nestle Milkmaid,132.0,3,6,128.0,400,False,400,4.0,33.0,In Stock,Low (1-10%)
Cooking Essentials,Popular Essentials Sona Masouri Steam Rice,65.0,9,6,59.0,1000,False,1,6.0,6.5,In Stock,Low (1-10%)
Cooking Essentials,24 Mantra Organic Tur Dal,260.0,20,6,208.0,1000,False,1,52.0,26.0,In Stock,Mid (11-20%)
Cooking Essentials,Gits Gulab Jamun Instant Dessert Mix,99.0,10,6,89.0,200,False,200,10.0,49.5,In Stock,Low (1-10%)
Cooking Essentials,Popular Essentials Black Masoor Whole (Un-Polished),65.0,10,3,58.0,500,False,500,7.0,13.0,In Stock,Low (1-10%)
Cooking Essentials,24 Mantra Organic Peanuts,135.0,7,1,125.0,500,False,500,10.0,27.0,Low Stock,Low (1-10%)
Cooking Essentials,Everest Hingraj Powder,90.0,10,2,81.0,50,False,50,9.0,180.0,Low Stock,Low (1-10%)
Cooking Essentials,Everest Black Pepper Powder,135.0,14,6,115.0,100,False,100,20.0,135.0,In Stock,Mid (11-20%)
Cooking Essentials,Tata Sampann Masoor Dal Stand,150.0,10,4,134.0,1000,False,1,16.0,15.0,In Stock,Low (1-10%)
Cooking Essentials,24 Mantra Organic Besan,95.0,7,5,88.0,500,False,500,7.0,19.0,In Stock,Low (1-10%)
Cooking Essentials,Quaker Oats,199.0,7,6,184.0,1000,False,1,15.0,19.900000000000002,In Stock,Low (1-10%)
Cooking Essentials,Saffola Gold Refined Cooking Oil (Jar),485.0,7,6,449.0,2000,False,2,36.0,24.25,In Stock,Low (1-10%)
Cooking Essentials,Nestle Everyday Dairy Whitener,210.0,0,4,210.0,400,False,400,0.0,52.5,In Stock,No Discount
Cooking Essentials,24 Mantra Organic Red Poha,75.0,8,1,69.0,500,False,500,6.0,15.0,Low Stock,Low (1-10%)
Cooking Essentials,Everest Powder - Tea Masala,98.0,9,5,89.0,100,False,100,9.0,98.0,In Stock,Low (1-10%)
Cooking Essentials,Tata Sampann Urad Dal Split,94.0,4,6,90.0,500,False,500,4.0,18.8,In Stock,Low (1-10%)
Cooking Essentials,Popular Essentials Idli Sooji,30.0,6,6,28.0,500,False,500,2.0,6.0,In Stock,Low (1-10%)
Cooking Essentials,Popular Essentials Dessicated Coconut,95.0,9,6,86.0,200,False,200,9.0,47.5,In Stock,Low (1-10%)
Cooking Essentials,Sunfeast Yippee! Mood Masala Noodles,60.0,28,3,43.0,260,False,260,17.0,23.076923076923077,In Stock,High (21%+)
Cooking Essentials,Chef's Basket Durum Wheat Elbow Pasta,160.0,50,6,80.0,500,False,500,80.0,32.0,In Stock,High (21%+)
Cooking Essentials,MTR Breakfast Khatta Meetha Poha Mix,25.0,20,6,20.0,60,False,60,5.0,41.66666666666667,In Stock,Mid (11-20%)
Cooking Essentials,Satyam Khobra,113.0,10,5,101.0,200,False,200,12.0,56.49999999999999,In Stock,Low (1-10%)
Cooking Essentials,Betty Crocker Complete Pancake Mix Original,110.0,4,6,105.0,250,False,500,5.0,44.0,In Stock,Low (1-10%)
Cooking Essentials,Borges Durum Wheat Fusilli Pasta,250.0,0,3,250.0,500,False,500,0.0,50.0,In Stock,No Discount
Cooking Essentials,24 Mantra Organic Green Moong Dal - Split,135.0,0,2,135.0,500,False,500,0.0,27.0,Low Stock,No Discount
Cooking Essentials,Weikfield Vanilla Flavoured Custard Powder,37.0,0,6,37.0,100,False,100,0.0,37.0,In Stock,No Discount
Cooking Essentials,Tata Sampann Moong Dal Split,180.0,1,5,178.0,1000,False,200,2.0,18.0,In Stock,Low (1-10%)
Cooking Essentials,Tata Sampann Kala Chana,64.0,0,5,64.0,500,False,500,0.0,12.8,In Stock,No Discount
Cooking Essentials,Saffola Soya Chunks Mealmaker,50.0,0,2,50.0,200,False,200,0.0,25.0,Low Stock,No Discount
Cooking Essentials,24 Mantra Bura Sugar (Demerara),80.0,10,6,72.0,500,False,500,8.0,16.0,In Stock,Low (1-10%)
Cooking Essentials,Popular Essentials Green Cardamom (Elaichi),200.0,1,6,198.0,50,False,50,2.0,400.0,In Stock,Low (1-10%)
Cooking Essentials,Hershey's Syrup Delicious Strawberry,95.0,0,1,95.0,200,False,200,0.0,47.5,Low Stock,No Discount
Cooking Essentials,Popular Essentials Anjeer,190.0,11,4,169.0,100,False,100,21.0,190.0,In Stock,Mid (11-20%)
Cooking Essentials,Popular Essentials Mustard Seeds Rai Small,20.0,0,2,20.0,100,False,100,0.0,20.0,Low Stock,No Discount
Cooking Essentials,Weikfield Baking Powder,33.0,3,6,32.0,100,False,100,1.0,33.0,In Stock,Low (1-10%)
Cooking Essentials,Dabur Honey Squeezy,185.0,9,6,167.0,225,False,225,18.0,82.22222222222221,In Stock,Low (1-10%)
Cooking Essentials,Tata Sampann High Protein Kali Urad,91.0,14,6,78.0,500,False,500,13.0,18.2,In Stock,Mid (11-20%)
